game_id,load_timestamp,season,status,scheduled_date,venue_id,venue_name,venue_city,venue_state,venue_address,venue_zip,venue_country,venue_capacity,attendance,neutral_site,conference_game,tournament,tournament_type,round,game_no,away_market,away_name,away_id,away_alias,away_conf_name,away_conf_alias,away_division_name,away_division_alias,away_league_name,home_market,home_name,home_id,home_alias,home_conf_name,home_conf_alias,home_division_name,home_division_alias,home_league_name,period,game_clock,elapsed_time_sec,possession_arrow,team_name,team_market,team_id,team_alias,team_conf_name,team_conf_alias,team_division_name,team_division_alias,team_league_name,team_basket,possession_team_id,player_id,player_full_name,jersey_num,event_id,timestamp,event_description,event_coord_x,event_coord_y,event_type,type,shot_made,shot_type,shot_subtype,three_point_shot,points_scored,turnover_type,rebound_type,timeout_duration
bb1258d5-5c73-45bc-a0ce-e23cbbdd46a8,2/1/2018 11:37:30,2016,closed,2/26/2017 20:00:00,c76914a3-7d54-4d6e-be85-cd6ccc69da47,CFE Arena,Orlando,FL,12777 Gemini Blvd N,32816,USA,9465,5763,FALSE,TRUE,,,,,Cincinnati,Bearcats,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,CIN,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,UCF,Knights,054c3e85-0552-4549-b123-7e84af6e7b6c,UCF,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,2,20:00,1200,054c3e85-0552-4549-b123-7e84af6e7b6c,,,,,,,,,,right,054c3e85-0552-4549-b123-7e84af6e7b6c,,,,0bac31fb-5c65-4602-9a24-0e434c67c4cd,2/26/2017 21:18:06,Open inbound Knights,12,211,openinbound,,FALSE,,,FALSE,,,,
d383f778-29ef-4cf8-87ca-e2bb7b4b6e7a,2/1/2018 11:30:52,2016,closed,1/18/2017 0:00:00,c76914a3-7d54-4d6e-be85-cd6ccc69da47,CFE Arena,Orlando,FL,12777 Gemini Blvd N,32816,USA,9465,5765,FALSE,TRUE,,,,,South Florida,Bulls,55af9c69-3675-4b9b-a882-96640b782fff,USF,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,UCF,Knights,054c3e85-0552-4549-b123-7e84af6e7b6c,UCF,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,2,15:10,1490,054c3e85-0552-4549-b123-7e84af6e7b6c,,,,,,,,,,,55af9c69-3675-4b9b-a882-96640b782fff,,,,b0ce5ca8-cb9b-4b4f-9c67-8c49887ce9ea,1/18/2017 1:12:44,TV timeout,,,tvtimeout,,FALSE,,,FALSE,,,,
2899a639-0984-445e-9810-f0a6ba3c0606,2/1/2018 13:29:21,2016,closed,1/25/2017 23:00:00,c76914a3-7d54-4d6e-be85-cd6ccc69da47,CFE Arena,Orlando,FL,12777 Gemini Blvd N,32816,USA,9465,4620,FALSE,TRUE,,,,,SMU,Mustangs,3f4515ea-4472-46b9-ac9e-16d7d8f22a38,SMU,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,UCF,Knights,054c3e85-0552-4549-b123-7e84af6e7b6c,UCF,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,1,2:05,1075,054c3e85-0552-4549-b123-7e84af6e7b6c,,,,,,,,,,left,054c3e85-0552-4549-b123-7e84af6e7b6c,,,,e691c206-2c6f-447a-9c18-770cad147ab6,1/25/2017 23:37:56,Knights 30 second timeout,563,310,teamtimeout,,FALSE,,,FALSE,,,,30
5e06665f-86b0-480c-a3f8-df08553612c8,2/15/2018 16:59:07,2017,closed,12/13/2017 0:00:00,c76914a3-7d54-4d6e-be85-cd6ccc69da47,CFE Arena,Orlando,FL,12777 Gemini Blvd N,32816,USA,,3449,FALSE,FALSE,,,,,Southeastern Louisiana,Lions,55cd5bb4-b030-4a7a-9652-6cebaf81c574,SELA,Southland,SOUTHLAND,NCAA Division I,D1,NCAA MEN,UCF,Knights,054c3e85-0552-4549-b123-7e84af6e7b6c,UCF,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,1,3:54,966,054c3e85-0552-4549-b123-7e84af6e7b6c,,,,,,,,,,,55cd5bb4-b030-4a7a-9652-6cebaf81c574,,,,bd5f5fd2-b911-4126-992d-188c95f77ae9,12/13/2017 0:35:52,TV timeout,,,tvtimeout,,FALSE,,,FALSE,,,,
2cfcaf55-9d9c-4c3e-9384-bb8a8ff2c989,2/1/2018 14:43:05,2014,closed,12/31/2014 17:00:00,c76914a3-7d54-4d6e-be85-cd6ccc69da47,CFE Arena,Orlando,FL,12777 Gemini Blvd N,32816,USA,9465,3440,,,,,,,Tulsa,Golden Hurricane,2959bd24-7007-41ae-a3a3-abdf26888cfc,TLSA,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,UCF,Knights,054c3e85-0552-4549-b123-7e84af6e7b6c,UCF,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,1,18:00,120,,,,,,,,,,,right,,,,,7da6c988-16ef-4f0a-b164-d348ebcc7392,12/31/2014 17:05:40,Golden Hurricane rebound (deadball),,,deadball,,FALSE,,,FALSE,,,,
78994fc3-4388-4b0d-817a-79d35ca45518,2/1/2018 16:00:10,2015,closed,12/6/2015 0:00:00,c76914a3-7d54-4d6e-be85-cd6ccc69da47,CFE Arena,Orlando,FL,12777 Gemini Blvd N,32816,USA,9465,4208,,,,,,,Illinois-Chicago,Flames,dfe0d93f-94a5-47fb-b7aa-f74786e09acb,UIC,Horizon,HORIZON,NCAA Division I,D1,NCAA MEN,UCF,Knights,054c3e85-0552-4549-b123-7e84af6e7b6c,UCF,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,1,20:00,0,dfe0d93f-94a5-47fb-b7aa-f74786e09acb,,,,,,,,,,left,054c3e85-0552-4549-b123-7e84af6e7b6c,,,,9c0dba0d-20d2-49ab-bdd2-362bc3d7acd6,12/6/2015 0:04:49,Tacko Fall (Chance McSpadden gains possession),566,297,opentip,,FALSE,,,FALSE,,,,
165ade31-4f9a-4c85-8312-e17e1014a54d,2/1/2018 13:23:29,2016,closed,2/4/2017 22:00:00,c76914a3-7d54-4d6e-be85-cd6ccc69da47,CFE Arena,Orlando,FL,12777 Gemini Blvd N,32816,USA,9465,5463,FALSE,TRUE,,,,,Memphis,Tigers,1551b3a0-6d10-4ffa-8dfa-73b56f004553,MEM,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,UCF,Knights,054c3e85-0552-4549-b123-7e84af6e7b6c,UCF,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,1,17:13,167,054c3e85-0552-4549-b123-7e84af6e7b6c,,,,,,,,,,right,1551b3a0-6d10-4ffa-8dfa-73b56f004553,,,,33d83a2d-2af8-4b44-87a7-09ad4e5a1b4e,2/4/2017 22:13:52,Tigers 30 second timeout,470,36,teamtimeout,,FALSE,,,FALSE,,,,30
5207be77-c7b0-4a1b-9c79-a44ee33f83cd,2/15/2018 17:12:47,2017,closed,12/1/2017 2:00:00,c76914a3-7d54-4d6e-be85-cd6ccc69da47,CFE Arena,Orlando,FL,12777 Gemini Blvd N,32816,USA,,5122,FALSE,FALSE,,,,,Missouri,Tigers,77ca152a-cb2f-48a5-97b2-492351250d94,MIZZ,Southeastern,SEC,NCAA Division I,D1,NCAA MEN,UCF,Knights,054c3e85-0552-4549-b123-7e84af6e7b6c,UCF,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,2,3:25,2195,054c3e85-0552-4549-b123-7e84af6e7b6c,,,,,,,,,,,054c3e85-0552-4549-b123-7e84af6e7b6c,,,,f4747177-442c-43d6-8d25-3a6fe4504b70,12/1/2017 3:36:46,TV timeout,,,tvtimeout,,FALSE,,,FALSE,,,,
5558c78b-fda1-4bdd-8dfa-ca72d915265a,2/15/2018 17:13:05,2017,closed,1/17/2018 0:00:00,c76914a3-7d54-4d6e-be85-cd6ccc69da47,CFE Arena,Orlando,FL,12777 Gemini Blvd N,32816,USA,,7565,FALSE,TRUE,,,,,Cincinnati,Bearcats,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,CIN,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,UCF,Knights,054c3e85-0552-4549-b123-7e84af6e7b6c,UCF,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,2,4:09,2151,054c3e85-0552-4549-b123-7e84af6e7b6c,,,,,,,,,,right,,,,,9a6550d8-fd48-41af-a686-b74228c1d00c,1/17/2018 1:47:06,Knights rebound (deadball),,,deadball,,FALSE,,,FALSE,,,,
4922eb69-180e-41c7-b8e3-4fc959979294,2/1/2018 15:42:59,2013,closed,12/31/2013 22:00:00,c76914a3-7d54-4d6e-be85-cd6ccc69da47,CFE Arena,Orlando,FL,12777 Gemini Blvd N,32816,USA,9465,7094,FALSE,TRUE,,,,,Louisville,Cardinals,b795ddbc-baab-4499-8803-52e8608520ab,LOU,Atlantic Coast,ACC,NCAA Division I,D1,NCAA MEN,UCF,Knights,054c3e85-0552-4549-b123-7e84af6e7b6c,UCF,American Athletic,AAC,NCAA Division I,D1,NCAA MEN,1,11:15,525,,,,,,,,,,,,054c3e85-0552-4549-b123-7e84af6e7b6c,,,,1e2a9bb3-0400-47f2-84fd-24a2198f324f,12/31/2013 22:29:15,TV timeout,,,tvtimeout,,FALSE,,,FALSE,,,,
