game_id,season,neutral_site,scheduled_date,gametime,tournament,tournament_type,tournament_round,tournament_game_no,player_id,last_name,first_name,full_name,abbr_name,status,jersey_number,height,weight,birth_place,birthplace_city,birthplace_state,birthplace_country,class,team_name,team_market,team_id,team_alias,conf_name,conf_alias,division_name,division_alias,league_name,home_team,active,played,starter,minutes,minutes_int64,position,primary_position,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,tech_fouls,flagrant_fouls,points,sp_created
36e2628b-1523-4763-9caa-204426626d3d,2017,TRUE,11/19/2017,11/19/2017 19:00:00,,,,,77529a78-60e1-478a-b70e-c54c063262eb,McCorvey,Jalonni,Jalonni McCorvey,,,10,,,,,,,,Golden Bears,Concordia-St. Paul,48d69ada-5296-447c-81a7-a1f031fb912b,CUSP,Northern Sun Intercollegiate Conference,NSIC,NCAA Division II,D2,NCAA MEN,FALSE,TRUE,FALSE,FALSE,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2/20/2018 13:03:23
36e2628b-1523-4763-9caa-204426626d3d,2017,TRUE,11/19/2017,11/19/2017 19:00:00,,,,,ed003987-3569-4c64-8187-00869e2bfad9,Holz,Kenny,Kenny Holz,,,15,,,,,,,,Golden Bears,Concordia-St. Paul,48d69ada-5296-447c-81a7-a1f031fb912b,CUSP,Northern Sun Intercollegiate Conference,NSIC,NCAA Division II,D2,NCAA MEN,FALSE,TRUE,FALSE,FALSE,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2/20/2018 13:03:23
2abcb9d5-e23b-4e14-9efd-3a002094ba66,2017,TRUE,11/18/2017,11/18/2017 21:00:00,,,,,ef9150bb-a8d5-45bf-a196-48ab5481f532,Siganos,Sam,Sam Siganos,,,4,,,,,,,,Golden Bears,Concordia-St. Paul,48d69ada-5296-447c-81a7-a1f031fb912b,CUSP,Northern Sun Intercollegiate Conference,NSIC,NCAA Division II,D2,NCAA MEN,FALSE,TRUE,FALSE,FALSE,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2/20/2018 13:03:24
2abcb9d5-e23b-4e14-9efd-3a002094ba66,2017,TRUE,11/18/2017,11/18/2017 21:00:00,,,,,ed003987-3569-4c64-8187-00869e2bfad9,Holz,Kenny,Kenny Holz,,,15,,,,,,,,Golden Bears,Concordia-St. Paul,48d69ada-5296-447c-81a7-a1f031fb912b,CUSP,Northern Sun Intercollegiate Conference,NSIC,NCAA Division II,D2,NCAA MEN,FALSE,TRUE,FALSE,FALSE,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2/20/2018 13:03:24
36e2628b-1523-4763-9caa-204426626d3d,2017,TRUE,11/19/2017,11/19/2017 19:00:00,,,,,ef9150bb-a8d5-45bf-a196-48ab5481f532,Siganos,Sam,Sam Siganos,,,4,,,,,,,,Golden Bears,Concordia-St. Paul,48d69ada-5296-447c-81a7-a1f031fb912b,CUSP,Northern Sun Intercollegiate Conference,NSIC,NCAA Division II,D2,NCAA MEN,FALSE,TRUE,FALSE,FALSE,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2/20/2018 13:03:23
2abcb9d5-e23b-4e14-9efd-3a002094ba66,2017,TRUE,11/18/2017,11/18/2017 21:00:00,,,,,77529a78-60e1-478a-b70e-c54c063262eb,McCorvey,Jalonni,Jalonni McCorvey,,,10,,,,,,,,Golden Bears,Concordia-St. Paul,48d69ada-5296-447c-81a7-a1f031fb912b,CUSP,Northern Sun Intercollegiate Conference,NSIC,NCAA Division II,D2,NCAA MEN,FALSE,TRUE,FALSE,FALSE,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2/20/2018 13:03:24
36e2628b-1523-4763-9caa-204426626d3d,2017,TRUE,11/19/2017,11/19/2017 19:00:00,,,,,74fb440e-d23f-44d3-8b1c-fece9d0540ff,Kane,Elliot,Elliot Kane,,,3,,,,,,,,Golden Bears,Concordia-St. Paul,48d69ada-5296-447c-81a7-a1f031fb912b,CUSP,Northern Sun Intercollegiate Conference,NSIC,NCAA Division II,D2,NCAA MEN,FALSE,TRUE,FALSE,FALSE,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2/20/2018 13:03:23
9c2dffff-8110-4e83-bf62-69ec13b950f9,2017,FALSE,11/18/2017,11/18/2017 2:00:00,,,,,77529a78-60e1-478a-b70e-c54c063262eb,McCorvey,Jalonni,Jalonni McCorvey,,,10,,,,,,,,Golden Bears,Concordia-St. Paul,48d69ada-5296-447c-81a7-a1f031fb912b,CUSP,Northern Sun Intercollegiate Conference,NSIC,NCAA Division II,D2,NCAA MEN,FALSE,TRUE,FALSE,FALSE,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2/20/2018 13:03:26
9c2dffff-8110-4e83-bf62-69ec13b950f9,2017,FALSE,11/18/2017,11/18/2017 2:00:00,,,,,ed003987-3569-4c64-8187-00869e2bfad9,Holz,Kenny,Kenny Holz,,,15,,,,,,,,Golden Bears,Concordia-St. Paul,48d69ada-5296-447c-81a7-a1f031fb912b,CUSP,Northern Sun Intercollegiate Conference,NSIC,NCAA Division II,D2,NCAA MEN,FALSE,TRUE,FALSE,FALSE,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2/20/2018 13:03:26
9c2dffff-8110-4e83-bf62-69ec13b950f9,2017,FALSE,11/18/2017,11/18/2017 2:00:00,,,,,ef9150bb-a8d5-45bf-a196-48ab5481f532,Siganos,Sam,Sam Siganos,,,4,,,,,,,,Golden Bears,Concordia-St. Paul,48d69ada-5296-447c-81a7-a1f031fb912b,CUSP,Northern Sun Intercollegiate Conference,NSIC,NCAA Division II,D2,NCAA MEN,FALSE,TRUE,FALSE,FALSE,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2/20/2018 13:03:26
